Komentar,Preprocessed Text,Sentiment
"""Di foto ini ada 2 anjing dan 1 kontol""",foto 2 anjing 1 kontol,bulliying
"""kasian banget Jane udah nunggu keluar penjara eh taunya :), waw sakit siih""",kasian banget jane udah nunggu penjara eh taunya waw sakit siih,bulliying
"""Puny cewk baik di selingkuhin g ngotak""",puny cewk selingkuhin g ngotak,bulliying
"""Inget yg di potong itu masalah nya bukan hubungan nya, tapi kalo udah gini sembeleh aja orang nya :) udah terlanjur kecewa""",inget yg potong nya hubungan nya kalo udah gini sembeleh aja orang nya udah terlanjur kecewa,bulliying
"""Ini buat konten.. masa putus foto tabi sama jessica engga dihapus ?""",konten putus foto tabi jessica engga dihapus,non-bulliying
"""Tiap mau makan dibikin ama jess tpi malah ngehianatin gila sih""",makan dibikin ama jess tpi ngehianatin gila sih,non-bulliying
"""Parah lu bang nama lu udh rusak karna narkoba malah nambah masalah ajh truss""",parah lu bang nama lu udh rusak karna narkoba nambah ajh truss,non-bulliying
"""Ini anjing Kok mirip ya sama Erick""",anjing ya erick,bulliying
"""Muka Pas""an sok sok an mau sm lonte lo anjing""",muka pasan sok sok an sm lonte lo anjing,bulliying
"""Lu sama anjingnya, lebih baik anjingnya""",lu anjingnya anjingnya,bulliying
"""IH ADA BABI JGN MEGANG TUH ANJING HARGA DIRINYA LEBIH TINGGI DRIPADA LO""",ih babi jgn megang tuh anjing harga dripada lo,bulliying
"""Santuy aja bang ga usah di tanggepin,btw gw suka gaya lo""",santuy aja bang ga tanggepinbtw gw suka gaya lo,non-bulliying
"""Narkoboy kontol, Cuma bisa maen cewe sama nyakitin doang lu anjing, mati aja lu bego""",narkoboy kontol maen cewe nyakitin doang lu anjing mati aja lu bego,bulliying
"""TETEP PENJARA AJA AJG NYUSAHIN LO KELUAR""",tetep penjara aja ajg nyusahin lo,bulliying
"""cewe cakep, setia kok disia sia in sahabat""",cewe cakep setia disia sia in sahabat,bulliying
"""loh kok ak liatnya anjing semua yaa""",loh ak liatnya anjing yaa,bulliying
"""Anjingnya ada dua kok guys, tapi kok lagi satu gue liat ada babi item""",anjingnya guys gue liat babi item,bulliying
"""Mantan Anjing, eh kebalik anjing mantan""",mantan anjing eh kebalik anjing mantan,bulliying
"""Bikin skandal karena kepengen tenar?""",bikin skandal kepengen tenar,non-bulliying
"""Wiii anjay kapan lagi liat babi megang 2 anjing""",wiii anjay liat babi megang 2 anjing,bulliying
"""Ini adalah foto babi sedang memeluk anjing yg pemilik nya adalah bidadari""",foto babi memeluk anjing yg pemilik nya bidadari,bulliying
"""Babi g pantes nyentuh anjingnya bidadari, nanti kotor.""",babi g pantes nyentuh anjingnya bidadari kotor,bulliying
"""SESAMA ANJING FOTO DULU YA KAN""",anjing foto ya,bulliying
"""potret seorjing memegang anjing kwkw""",potret seorjing memegang anjing kwkw,bulliying
"""HEH UDH NAPA HATE NYA CAPE GW BACA NYA""",heh udh napa hate nya cape gw baca nya,non-bulliying
"""WADUH MALAH LEBIH GANTENG ANJINGNYA. EH EH BAHKAN LU GA PANTES DISEBUT ANJING. ANJING KAN SETIA PANTESNYA SIH BABI HAHAHAHA""",ganteng anjingnya eh eh lu ga pantes anjing anjing setia pantesnya sih babi hahahaha,bulliying
"""kalo lomba sama""an sm babi, babi nya nmr 2""",kalo lomba samaan sm babi babi nya nmr 2,bulliying
"""Si anjing ketika berfoto dengan si anjing""",si anjing berfoto si anjing,bulliying
"""Kak jessica yg nungguin+setia sm kk loh pas ad masalah kmrn. Tapi kk ga ngehargain malah lbh milih yg d sono""",kak jessica yg nungguinsetia sm kk loh pas ad kmrn kk ga ngehargain lbh milih yg d sono,non-bulliying
"""erikontolim manusia babi anak lonte""",erikontolim manusia babi anak lonte,bulliying
"""HARGAILAH HATI WANITA YANG UDH TULUS NEMENIN LO DARI 0!!!""",hargailah hati wanita udh tulus nemenin lo 0,bulliying
"""Tapi bagus sih erick mutusin Jessica ya karna Erick kelakuan ny begituu coba liat Jessica""",bagus sih erick mutusin jessica ya karna erick kelakuan ny begituu coba liat jessica,non-bulliying
"""Anjing sekarang hebat ya, bisa pake kacamata""",anjing hebat ya pake kacamata,bulliying
"""Sdh lh nasi udah jdi bubur ga bisa lagi dibentuk kek semulaaa""",sdh lh nasi udah jdi bubur ga dibentuk kek semulaaa,non-bulliying
"""Kukira kehadiranmu akan menjadi sesuatu kebanggaan, ternyata tidak""",kukira kehadiranmu kebanggaan,non-bulliying
"""Ada 3 Ajg Dan Yg Punya Tato Bener2 Ajg""",3 ajg yg tato bener2 ajg,bulliying
"""dasar orang tua gada akhlak,ngajarin anaknya yang ga bener""",dasar orang tua gada akhlakngajarin anaknya ga bener,bulliying
"""Erik kenapa sih? Ada yang bisa jelasin gw ga update soalnya.. maap2""",erik sih jelasin gw ga update maap2,non-bulliying
"""Eh jangan dekat dekat sama anjingnya ci Jessica gua lempar lu""",eh anjingnya ci jessica gua lempar lu,bulliying
"""guys dr pd comment2 mending unfoll sm unsubscribe aja yaa""",guys dr pd comment2 mending unfoll sm unsubscribe aja yaa,non-bulliying
"""Babi lagi main ma anjing :)""",babi main ma anjing,bulliying
"""Dikasi BIDADARI MALAH PILIH BABI""",dikasi bidadari pilih babi,bulliying
"""Postingan pertama jg dihujat dong gila netijen""",postingan jg dihujat gila netijen,non-bulliying
"""BARU KALI INI LIHAT ANJING SAMA BABI BAIKAN…""",kali lihat anjing babi baikan…,bulliying
"""Dikasih bidadari malah milih setan""",dikasih bidadari milih setan,bulliying
"""Padahal gw g mau benci ama lu bro, tpi ada aja tingkah lu yang melenceng:(""",gw g benci ama lu bro tpi aja tingkah lu melenceng,non-bulliying
"""SIKAP MU LEBIH NAJIS DARIPADA LUDAH ANJING!""",sikap mu najis ludah anjing,bulliying
"""Njir meskipun udh lama nih poto di post tapi masih banyak yg komen baru2""",njir udh nih poto post yg komen baru2,non-bulliying
"""kesini cmn mo liat komen aja""",kesini cmn mo liat komen aja,non-bulliying
"""Buset hate comment ampe postingan paling bawah""",buset hate comment ampe postingan,non-bulliying
"""Foto di upload nya 20 maret yang comment 1 jam 2 jam 3 jam yg lalu""",foto upload nya 20 maret comment 1 jam 2 jam 3 jam yg,bulliying
"""Pantes banyak utang buat bayar lonte""",pantes utang bayar lonte,bulliying
"""2 3 tutup botol muka lu kek kontol wkwk""",2 3 tutup botol muka lu kek kontol wkwk,bulliying
"""astaga masih pagi dibikin ngakak ama komenan netijen yg ngmng suka bener""",astaga pagi dibikin ngakak ama komenan netijen yg ngmng suka bener,non-bulliying
"""Dah lah. Gw capek baca komen kalian""",dah gw capek baca komen,non-bulliying
"""Keliatan bgt anjingnya ketakutan foto sama dakjal""",keliatan bgt anjingnya ketakutan foto dakjal,bulliying
"""Astaga ngehujat sampe postingan paling bawah""",astaga ngehujat sampe postingan,non-bulliying
"""Lebih najis elu daripada anjing!""",najis elu anjing,bulliying
"""2 ekor anjing dan satu buaya makan jambut""",2 ekor anjing buaya makan jambut,bulliying
"""Kalo disuruh melihara anjing/eric gw pilih anjing aja meski Najis tapi lebih najisan erick kontol""",kalo disuruh melihara anjingeric gw pilih anjing aja najis najisan erick kontol,bulliying
"""Ngapain si pada ngejudge? Mikir dulu lah dia putus juga sebelum kejadian itu tolol""",ngapain si ngejudge mikir putus kejadian tolol,bulliying
"""Hargai wanitamu dia didekati banyak pria tetapi tetap memilihmu""",hargai wanitamu didekati pria memilihmu,non-bulliying
"""Ternyata sipat anjing bukan hanya ada di anjing doang ya,di manusia sipat anjing juga ternyata ada""",sipat anjing anjing doang yadi manusia sipat anjing,bulliying
"""Potret ketika anjing poto dengan setan""",potret anjing poto setan,bulliying
"""BANTU BEDAINN WOYY MANA ANJING MANA BABI""",bantu bedainn woyy anjing babi,bulliying
"""Udaah woii udahh lu gak kasihan apa…. Aku capek ngelike komenan kalian""",udaah woii udahh lu gak kasihan apa… capek ngelike komenan,bulliying
"""3 anjing 1 anjing berwujud manusia, 2 anjing asli tak ada perwujudan aowkwkw""",3 anjing 1 anjing berwujud manusia 2 anjing asli perwujudan aowkwkw,bulliying
"""Kasian gue sama anjingnya dipegang dajjal""",kasian gue anjingnya dipegang dajjal,bulliying
"""Kasian anjing nya di pegang babi""",kasian anjing nya pegang babi,bulliying
"""Lo itu kontol gak guna ajg anak dakjal""",lo kontol gak ajg anak dakjal,bulliying
"""mukak lu lebih buruk daripada anjing lu""",mukak lu buruk anjing lu,bulliying
"""dikasi yang bening malah milih yang dakian""",dikasi bening milih dakian,bulliying
"""Mending masuk penjara lagi aja dah seumur hidup""",mending masuk penjara aja dah seumur hidup,bulliying
"""Kok lbih lucu anjingnya ya ktimbang orangnya""",lbih lucu anjingnya ya ktimbang orangnya,bulliying
"""Akhirnya jesica bisa lepas dari kambing hitam ini""",jesica lepas kambing hitam,bulliying
"""Maafin Aja Bro Semua Orang Pasti Ada Kesalahan Dia Juga Pasti Ada Kesalahan Nasehatin Aja Siapa Tau Dia Berubah""",maafin aja bro orang kesalahan kesalahan nasehatin aja tau berubah,non-bulliying
"""Kasian anjingnya dipeluk sma sampahh""",kasian anjingnya dipeluk sma sampahh,bulliying
"""Gua kira keluar dari PENJARA bisa berubah""",gua penjara berubah,bulliying
"""Cintamu hanya sebatas kertas wkwkw enteng bang""",cintamu sebatas kertas wkwkw enteng bang,non-bulliying
"""Padahal sejak dia sama Jane aku lebih respect :( skrg bener2 udah hilang respect :(""",jane respect skrg bener2 udah hilang respect,bulliying
"""udah nemenin dari masa tersulit lo pas udah keluar malah selingkuh, ga nyangka idola gua sesampah itu.""",udah nemenin tersulit lo pas udah selingkuh ga nyangka idola gua sesampah,bulliying
"""Dihujat habis""an semua postingan lama ada komen baru wkwk""",dihujat habisan postingan komen wkwk,non-bulliying
"""Gua gabisa bedain mana anjing mana manusia, keliatannya sama""",gua gabisa bedain anjing manusia keliatannya,bulliying
"""Lu mirip anaknya kick andy yg namanya marlo bang""",lu anaknya kick andy yg namanya marlo bang,non-bulliying
"""Kenapa ada orang baik ? Karna ada orang jahat""",orang karna orang jahat,non-bulliying
"""Ngga ada niatan ngadain pengajian gitu bang?""",ngga niatan ngadain pengajian gitu bang,non-bulliying
"""Suka banget sama rambutnyaa tambah ganteng""",suka banget rambutnyaa ganteng,non-bulliying
"""@abatartila Ada ada aja kaya gini di bilang king, king muke nya udh kaya tai musang""",abatartila aja kaya gini bilang king king muke nya udh kaya tai musang,bulliying
"""Ninggalin berlian demi tai babi dih""",ninggalin berlian tai babi dih,bulliying
"""ganteng kaga lu begitu malah keliatan kaya daki kontol""",ganteng kaga lu keliatan kaya daki kontol,bulliying
"""Mukak lo kayak tapir kuda asu sok ganteng banget lo""",mukak lo kayak tapir kuda asu sok ganteng banget lo,bulliying
"""Banyak yg kecewa karena lu begini rik!!!!""",yg kecewa lu rik,bulliying
"""Maap ye…muke lu udh jelek kaga usah sok selingkuh,cakepan anjing gua noh""",maap ye…muke lu udh jelek kaga sok selingkuhcakepan anjing gua noh,bulliying
"""Apa si hebatnya banci yg badannya penuh koreng kaya lo""",si hebatnya banci yg badannya penuh koreng kaya lo,bulliying
"""Gini dong bersihan kaga kek tahun tahun sebelumnya dekil""",gini bersihan kaga kek dekil,bulliying
"""Muka lu keriput kek aki aki""",muka lu keriput kek aki aki,bulliying
"""Foto jelek dihujat, foto ganteng dibilang sok ganteng""",foto jelek dihujat foto ganteng dibilang sok ganteng,bulliying
"""kebanyakan nyabu jadi kurus lu""",kebanyakan nyabu kurus lu,bulliying
"""NARKOBOYY NGELUARIN LIDAHH, AJG MAU APA, MAU TES URIN""",narkoboyy ngeluarin lidahh ajg tes urin,bulliying
"""Fotolu pede anjrit muka lu tu anjrit""",fotolu pede anjrit muka lu tu anjrit,bulliying
"""Hidup itu jngn keterlaluan boss playboy amat ajg luu""",hidup jngn boss playboy ajg luu,bulliying
"""Mukalu kek aktor bokep bgst mending ngobat aja luu""",mukalu kek aktor bokep bgst mending ngobat aja luu,bulliying
"""dah jelek semangattt pulak WKWK""",dah jelek semangattt pulak wkwk,bulliying
"""Muka nya kok gitu, seren bikin mual liatnya""",muka nya gitu seren bikin mual liatnya,bulliying
"""Sana anjing ngewe ama lonte bangsat""",anjing ngewe ama lonte bangsat,bulliying
"""Muka kek kontol mending di penjara""",muka kek kontol mending penjara,bulliying
"""muka kek banci dih najis""",muka kek banci dih najis,bulliying
"""Ntar Mati dalam keadaan konyol""",ntar mati konyol,bulliying
"""mau bilang jelek nya ga enak hehe …""",bilang jelek nya ga enak hehe …,bulliying
"""Idihhhhh pantesan aja foto nya keluarin lidah kyk gtu. Trnyata tukang jilat…""",idihhhhh pantesan aja foto nya keluarin lidah kyk gtu trnyata tukang jilat…,bulliying
"""NIH ORANG KALO LOMBA MIRIP BABI,BABINYA JUARA 2""",nih orang kalo lomba babibabinya juara 2,bulliying
"""Titisan dakjal emg lo nyet""",titisan dakjal emg lo nyet,bulliying
"""Et muka lu aje gitu dih hahaha. Biarin aja sampah ketemu sampah biar busuk bersama""",et muka lu aje gitu dih hahaha biarin aja sampah ketemu sampah biar busuk,bulliying
"""Jijik astagah sok bat cakep njs""",jijik astagah sok bat cakep njs,bulliying
"""Bully an di ig lebih ngeri daripada di fb ajg gua jadi ngerii! Ajgg",bully an ig ngeri fb ajg gua ngerii ajgg,non-bulliying
"""udah buriq brengsek pula pantes aja dapet lonte""",udah buriq brengsek pantes aja dapet lonte,bulliying
"""MUKA KAMPUNG GAYA SOK SOAN KOTA NYET""",muka kampung gaya sok soan kota nyet,bulliying
"""Ngapa lidah Lo stroke amin deh kalau gtu""",ngapa lidah lo stroke amin deh gtu,bulliying
"""Ciah dihujat 1 Indonesia jangan sampe bunuh diri ya komtoll kami blom puas nguat kauuu""",ciah dihujat 1 indonesia sampe bunuh ya komtoll blom puas nguat kauuu,non-bulliying
"""Org kampung otak dusun gaya sosoan hype. Ttep aja gabisa nutupin muka babu lu.""",org kampung otak dusun gaya sosoan hype ttep aja gabisa nutupin muka babu lu,bulliying
"""Cowo foto liatin lidah nya jam ah jijik gue. Apa lagi minus akhlak kek gini""",cowo foto liatin lidah nya jam ah jijik gue minus akhlak kek gini,bulliying
"""ANJING gue jg ogah liat muke lu""",anjing gue jg ogah liat muke lu,bulliying
"""G bole melet dosaa rik""",g bole melet dosaa rik,non-bulliying
"""paan melet melet mau jilat tai tabi?""",paan melet melet jilat tai tabi,bulliying
"""Setan emg melet2 teross jijik asuuu""",setan emg melet2 teross jijik asuuu,bulliying
"""ni anak lahir krna kondom bocor.. ga ada rasa syukur muka kyk selangkangan gorilla dpt cewe cntik kyk jessica setia dll malah di sia2in bgsad""",ni anak lahir krna kondom bocor ga syukur muka kyk selangkangan gorilla dpt cewe cntik kyk jessica setia dll sia2in bgsad,bulliying
"""Apaan si melet2 sok ganteng""",si melet2 sok ganteng,bulliying
"""Muka kek slangkangan biawak aje bnyk blagu lu""",muka kek slangkangan biawak aje bnyk blagu lu,bulliying
"""Sumpah sih jahat banget. Bener2 kasian sama kak jessica""",sumpah sih jahat banget bener2 kasian kak jessica,non-bulliying
"""Anjing gk pantes sama bidadari.""",anjing gk pantes bidadari,bulliying
"""MELET MULU SETAN KAYA ULAR""",melet mulu setan kaya ular,bulliying
"""Njr melet melet gw kirain hewan""",njr melet melet gw kirain hewan,bulliying
"""Gtu aj dh kek anjg lo kang""",gtu aj dh kek anjg lo kang,bulliying
"""Gw kesini pengen liat babang ini.. Sumpah feeling gw bener.. Mirip banget ama Reynhard Sinaga""",gw kesini pengen liat babang sumpah feeling gw bener banget ama reynhard sinaga,non-bulliying
"""Ih ko melet2 si kaya hewan aja wkwkwkwk""",ih ko melet2 si kaya hewan aja wkwkwkwk,bulliying
"""Iuu milih iblis drpd bidadarii kwkwkw jyjyq""",iuu milih iblis drpd bidadarii kwkwkw jyjyq,bulliying
"""MELET2 UDAH KAYA ANJING, EH KAN EMAH ANJING""",melet2 udah kaya anjing eh emah anjing,bulliying
"""ga nyadar aja nih sampah HAHA""",ga nyadar aja nih sampah haha,bulliying
"""Lidah banyak kuman and virus nih""",lidah kuman and virus nih,bulliying
"""Awalnya ngira baju endorse dari KFC, mirip '-'""",ngira baju endorse kfc,non-bulliying
"""GUA MAU LO TERUS BERKARYA , PERBAIKI, TINGGALKAN YG NEGATIF , TIDAK ADA KATA TERLAMBAT , TTP JADI ORANG YG HEBAT DAN SELALU BAHAGIA @xrickolim""",gua lo berkarya perbaiki tinggalkan yg negatif terlambat ttp orang yg hebat bahagia xrickolim,non-bulliying
"""Cita cita ingin jadi pakboi , eh tapi malah jadi narkoboy nasib-nasib""",cita cita pakboi eh narkoboy nasibnasib,bulliying
"""Napa lu balik dari penjara sih?""",napa lu penjara sih,bulliying
"""Mending lu pada tobat dah""",mending lu tobat dah,bulliying
"""selama dipenjara apalo sikat gigi? KOK BAU YA, BAUBAU AROMA BANGSATTTT""",dipenjara apalo sikat gigi bau ya baubau aroma bangsatttt,bulliying
"""Gigi lo ada apanya? Jigong? Atau kondom nya nyangkut?""",gigi lo apanya jigong kondom nya nyangkut,bulliying
"""ih mukanya kek anjing rumah gwa""",ih mukanya kek anjing rumah gwa,bulliying
"""woi anak anjing ngapain lu hidup bgst""",woi anak anjing ngapain lu hidup bgst,bulliying
"""Udah jelek gak usah d jelek2 in lagi bro""",udah jelek gak d jelek2 in bro,bulliying
"""Ganteng kagak berbakat juga kagak kelebihannya dimana cobak?""",ganteng kagak berbakat kagak kelebihannya dimana cobak,bulliying
"""Benci aja Ama orang jelek pake selingkuh segala""",benci aja ama orang jelek pake selingkuh,bulliying
"""Udah tutup mulut nya bau kambing""",udah tutup mulut nya bau kambing,bulliying
"""Jualan jualan knp ngga jadi yutuber lagi bro takut ngga ada yg nntn yah""",jualan jualan knp ngga yutuber bro takut ngga yg nntn yah,non-bulliying
"""Kayak Randy Pangalila klo gk pake kacamata""",kayak randy pangalila klo gk pake kacamata,non-bulliying
"""Entah knp liat muka BG Eric sekarang kaya enak gitu .. dari pada yg dulu""",knp liat muka bg eric kaya enak gitu yg,non-bulliying
"""Apa ganteng nyasih anjing.. Kucel gini jadiin model""",ganteng nyasih anjing kucel gini jadiin model,bulliying
"""keknya dia ngeliat masa depan yang hancur deh""",keknya ngeliat hancur deh,bulliying
"""INGETT HIDUP LO DULU GA SEENAK INI RIKKK. HIDUP LO SUSAH!!!! SALAM TEMEN SMP PAS LO BURIKKK. EH SKRG SAMA AJA""",ingett hidup lo ga seenak rikkk hidup lo susah salam temen smp pas lo burikkk eh skrg aja,bulliying
"""Yaaaa yaaa kalo liat muka nya sumpah ngeselin banget dah….oprasi dulu sono..biar gantengan dikit.. Dan kalo jln ke mall gk di kenal orng.""",yaaaa yaaa kalo liat muka nya sumpah ngeselin banget dah…oprasi sonobiar gantengan dikit kalo jln mall gk kenal orng,bulliying
"""dia ini siapa sih??? Artis bukan, jelek mah iya mukanya iyuhhh""",sih artis jelek mah iya mukanya iyuhhh,bulliying
"""Ini bukan era lo lagi, mending lo mati aja babi. Kalo baca bales nyet""",era lo mending lo mati aja babi kalo baca bales nyet,bulliying
"""Saya segenap hati minta maap""",segenap hati maap,bulliying
"""Dulu Bahagia Sekarang Banyak Utang""",bahagia utang,bulliying
"""Harus lebih maju berkelas rik!! Ga jamannya lg toxic dan ga beraturan.. build sistem!! You will be BIG""",maju berkelas rik ga jamannya lg toxic ga beraturan build sistem you will be big,non-bulliying
"""editan sama konsepnya nice banget lahhh""",editan konsepnya nice banget lahhh,bulliying
"""iri kok sama babi hahah najis""",iri babi hahah najis,bulliying
"""LO YANG DULU BUKANLAH YANG SEKARANG DULU KAYA ANJING SEKARANG KAYA BABI""",lo kaya anjing kaya babi,bulliying
"""Jelek aja tukang selingkuh lo buriq !""",jelek aja tukang selingkuh lo buriq,bulliying
"""kok kalian komennya pada kek gini ya""",komennya kek gini ya,bulliying
"""Rick lu tuh jadi manusia kek gk ada gunanya lu dilahirin kedunia untuk berbuat baik, sayang nya lu ngecewain org lain gimana mo masuk surga""",rick lu tuh manusia kek gk gunanya lu dilahirin kedunia berbuat sayang nya lu ngecewain org gimana mo masuk surga,bulliying
"""Kalian kaloga cocok mau di paksain?""",kaloga cocok paksain,non-bulliying
"""ya biarin @xrickolim kita gatau gimana aslinya masa kalian semua ambil keputusan sepihak?kalo udah takdir gaada yang bisa nentang njir""",ya biarin xrickolim gatau gimana aslinya ambil keputusan sepihakkalo udah takdir gaada nentang njir,bulliying
"""Cocok kok, emang orang baik mah buat org baik, kalo yg bejat mah emang cocok buat yang bejat juga ehehe""",cocok emang orang mah org kalo yg bejat mah emang cocok bejat ehehe,bulliying
"""ERICK GOBLOK,MALAH PACARAN AMA LONTE ANJ,SO BAT""",erick goblokmalah pacaran ama lonte anjso bat,bulliying
"""Cocok banget sama2 orang gak bener biar lah dia hancur bersama""",cocok banget sama2 orang gak bener biar hancur,bulliying
"""EH KEK ADA PENAMPAKAN LONTE""",eh kek penampakan lonte,bulliying
"""Meninggalkan berlian demi Tai Sapi""",meninggalkan berlian tai sapi,bulliying
"""Ini bukan era lo lgi, wkwkw skrng lo penuh dengan cacimaki, telen ludah sendiri""",era lo lgi wkwkw skrng lo penuh cacimaki telen ludah,bulliying
"""Pantes disini mulainya si ajg berulah""",pantes mulainya si ajg berulah,bulliying
"""Open BO ga bang si listy? Kebetulan ada om-om yg nyari cwe yg udah pengalaman!!!!""",open bo ga bang si listy omom yg nyari cwe yg udah pengalaman,non-bulliying
"""Buah nangka buah kemanggi gak ada akhlak lu babi""",buah nangka buah kemanggi gak akhlak lu babi,bulliying
"""Perlahan karirmu ancur bro dan lu akan kembali kebawan""",perlahan karirmu ancur bro lu kebawan,bulliying
"""Biarkan @sk69official bangkrut aja. CEO nya gatau trimakasih haha""",biarkan sk69official bangkrut aja ceo nya gatau trimakasih haha,bulliying
"""ngapain juga nginap di rumah cowo, gaada keluarga lg lo?""",ngapain nginap rumah cowo gaada keluarga lg lo,bulliying
"""Eh ada pelakor, pas banget frame ke tiga, orang ke 3""",eh pelakor pas banget frame orang 3,bulliying
"""Anak gblk dikasi berlian malah milih kerikil""",anak gblk dikasi berlian milih kerikil,bulliying
"""Dikasih bidadari malah milih dajjal awokawok:v""",dikasih bidadari milih dajjal awokawokv,bulliying
"""Jangan cuman bisa ngehina Dong Sadar Kalian Itu Ga sempurna sama kaya kami""",cuman ngehina sadar ga sempurna kaya,non-bulliying
"""Kesihan gue sama org otak dangkal kek gini""",kesihan gue org otak dangkal kek gini,bulliying
"""Murahh banget lo jijik gue …. Dikick EVOS mlah open BO""",murahh banget lo jijik gue … dikick evos mlah open bo,bulliying
"""senengnya sekali nyesel nya seumur hidup, miris banget hidup lu tolol meninggalkan berlian yang indah dipandang dan di sayang demi segumpal tai kucing""",senengnya nyesel nya seumur hidup miris banget hidup lu tolol meninggalkan berlian indah dipandang sayang segumpal tai kucing,bulliying
"""Indahnya pemandangan banyak LonT lonT mau di jual""",indahnya pemandangan lont lont jual,bulliying
"""bidadari sudah ditunjukan , bahwa mmg g pantes sma dajjal g tau diri""",bidadari ditunjukan mmg g pantes sma dajjal g tau,bulliying
"""siapapun tolong kasih tau aku ini masalah nya apaa gais""",tolong kasih tau nya apaa gais,non-bulliying
"""dikasih hati yg malaikat milih yg berhati iblis greget:(""",dikasih hati yg malaikat milih yg berhati iblis greget,bulliying
"""Di kasih bidadari malah pilih kotoran""",kasih bidadari pilih kotoran,bulliying
"""Dikasih bidadari malah minta lonte""",dikasih bidadari lonte,bulliying
"""Gajadi beli Model murahan barang pasti murahan""",gajadi beli model murahan barang murahan,bulliying
"""Modelny aja murahan apalagi barangnya""",modelny aja murahan barangnya,bulliying
"""muka macem pengamen gegayaan selingkuh, untung udh ga sm jane lg, kebanting sm jane muke lu""",muka macem pengamen gegayaan selingkuh untung udh ga sm jane lg kebanting sm jane muke lu,bulliying
"""Males beli gua,gara gara ada lonte""",males beli guagara gara lonte,bulliying
"""Padahal bulug gini ya mukanya.. ehh,, maaf..""",bulug gini ya mukanya ehh maaf,bulliying
"""Padahal cantikan jessica kemana mana""",cantikan jessica kemana,non-bulliying
"""Dikasih bidadari malah milih sampah""",dikasih bidadari milih sampah,bulliying
"""yaelah muka pas""an aja bangga lu njing""",yaelah muka pasan aja bangga lu njing,bulliying
"""Wah ibarat lebih milih iblis daripada bidadari haha""",milih iblis bidadari haha,bulliying
"""@rangga_kanahaya knp gk truck sampah, kek mukanya sampah""",ranggakanahaya knp gk truck sampah kek mukanya sampah,bulliying
"""Gajadi beli, takut ketularan lonte nya""",gajadi beli takut ketularan lonte nya,bulliying
"""hanya bisa melihat hujatan klean kasian si listy kontrak nya d copot , di hujat memang dunia sgt kejam""",hujatan klean kasian si listy kontrak nya d copot hujat dunia sgt kejam,non-bulliying
"""Jangan beli baju lonte entar kena sial""",beli baju lonte entar kena sial,bulliying
"""Dasar cewe lo itu LONTE tau kau!""",dasar cewe lo lonte tau kau,bulliying
"""Disini pada kenapa dah? Aku gapaham tolong""",dah gapaham tolong,non-bulliying
"""Itu ditengah manusia apa monyet kok kulitnya bercorak batik""",ditengah manusia monyet kulitnya bercorak batik,bulliying
"""Muka lu sama anjing gwe..lebih ganteng anjing gwe rik""",muka lu anjing gwelebih ganteng anjing gwe rik,bulliying
"""Buat kalian para pens lonte jgn tkut listi Miskin krna dipecat, krna dia bsa kaya lgi, dgn cara ya nglonte""",pens lonte jgn tkut listi miskin krna dipecat krna bsa kaya lgi dgn ya nglonte,bulliying
"""Etdah ninggalin yang baik demi lonte, situ waras mas wkwk""",etdah ninggalin lonte situ waras mas wkwk,bulliying
"""Gw melihat cewek murahan di postingan ini""",gw cewek murahan postingan,bulliying
"""yang kedua dari sebelah kanan itu batik apa orang dah? kok warna nya kek taek babi si?""",sebelah kanan batik orang dah warna nya kek taek babi si,bulliying
"""Ih ko muka jelek banget siii serem kek setan""",ih ko muka jelek banget siii serem kek setan,bulliying
"""Itu yang foto ketiga jablay murahan bukan?""",foto ketiga jablay murahan,bulliying
"""Jelek aja tukang selingkuh lo buriq !!!!""",jelek aja tukang selingkuh lo buriq,bulliying
"""Emang kalian se suci apa sampai nghina dia segitu nya""",emang suci nghina segitu nya,non-bulliying
"""Mending yang follow pada unfollow Udeh gausah ribet""",mending follow unfollow udeh gausah ribet,non-bulliying
"""Dekil tatoan, mampus karir Lo hancurr pantek""",dekil tatoan mampus karir lo hancurr pantek,bulliying
"""Udah ada berlian malah milih batu nisan""",udah berlian milih batu nisan,bulliying
"""Alasan setan ama setan, KARNA KALO SETAN SAMA BIDADARI, SAYAPNYA RONTOK, DICEKER, DIGIGIT, DIJAMBAK2""",alasan setan ama setan karna kalo setan bidadari sayapnya rontok diceker digigit dijambak2,bulliying
"""Lagian juga Erick gak ada akhlak jelek lagi Listy juga jelek""",erick gak akhlak jelek listy jelek,bulliying
"""Setan ma setan mahh emg cocokk udee""",setan ma setan mahh emg cocokk udee,bulliying
"""Lonte kurus pucet kek mayat hidup""",lonte kurus pucet kek mayat hidup,bulliying
"""Itu muka apa tutup panci wkwkekek jelek nya ampe ke ubun ubun""",muka tutup panci wkwkekek jelek nya ampe ubun ubun,bulliying
"""@xrickolim smngat trus bro tiada manusia yg sempurna kmu pasti bisa bangkit n jadi lebih baik GBU keepstrong""",xrickolim smngat trus bro tiada manusia yg sempurna kmu bangkit n gbu keepstrong,non-bulliying
"""bego anak orang udah ga perawan noh gara"" lu wkwkw""",bego anak orang udah ga perawan noh gara lu wkwkw,bulliying
"""Frustasi..Sudah habis uangnya..Kasihannn""",frustasisudah habis uangnyakasihannn,bulliying
"""Bro buat lu pada yg ngehujat erick tpi masih punya masala sendiri jangan sok keras""",bro lu yg ngehujat erick tpi masala sok keras,bulliying
